PedidoID,ClienteID,SucursalID,EmpleadoID,FechaPedido,Estado,Total,Notas
1,70,10,40,2024-12-01 17:41:00,Completado,2667.74,
2,33,2,26,2023-12-12 18:08:00,Completado,283.32,
3,60,1,34,2024-04-27 08:04:00,Completado,771.9,
4,77,17,26,2023-03-02 13:34:00,Completado,418.6,
5,52,1,16,2023-06-04 18:17:00,Enviado,2410.29,
6,73,4,18,2023-03-18 16:57:00,Completado,729.18,
7,79,16,20,2024-08-21 12:56:00,En proceso,1027.31,
8,33,17,6,2024-08-12 11:44:00,Cancelado,38.75,
9,16,1,27,2023-08-02 12:11:00,Completado,1971.87,
10,61,11,33,2023-09-26 18:21:00,Cancelado,396.75,
11,9,1,7,2023-09-03 15:16:00,Completado,223.99,
12,33,19,17,2023-01-20 18:10:00,Completado,261.16,
13,24,17,19,2023-10-28 18:14:00,Completado,166.78,
14,62,12,28,2023-04-07 12:32:00,Enviado,926.11,
15,85,13,20,2023-03-13 19:30:00,Cancelado,3055.45,
16,40,17,9,2024-07-22 12:33:00,Cancelado,134.81,
17,3,7,8,2024-01-24 16:02:00,En proceso,5265.44,
18,51,18,3,2023-01-11 15:42:00,Completado,353.94,
19,19,20,32,2023-04-15 13:16:00,Completado,2118.23,
20,67,5,9,2023-11-28 16:04:00,Cancelado,280.68,
21,4,7,27,2023-05-20 15:00:00,Completado,573.48,
22,55,3,25,2024-04-20 20:18:00,En proceso,2793.65,
23,99,20,1,2024-02-13 13:00:00,Completado,10412.16,
24,98,15,7,2024-01-02 15:48:00,Completado,3983.28,
25,74,6,8,2024-04-27 13:30:00,Enviado,423.13,
26,14,7,13,2023-08-31 19:06:00,Completado,968.58,
27,51,4,12,2024-07-22 19:33:00,Cancelado,156.99,
28,3,19,11,2023-12-16 16:34:00,En proceso,558.93,
29,25,20,23,2024-07-31 17:14:00,Completado,424.81,
30,90,20,39,2024-08-13 10:28:00,Completado,789.74,
31,77,8,21,2023-03-08 16:09:00,Completado,1395.19,
32,22,10,27,2024-06-08 12:01:00,Enviado,884.78,
33,95,10,1,2023-11-18 12:49:00,Completado,1830.83,
34,62,9,7,2023-10-30 19:49:00,Completado,337.87,
35,72,3,31,2024-10-15 11:02:00,Completado,3527.26,
36,80,7,38,2024-12-31 10:07:00,Completado,4667.91,
37,80,9,2,2023-06-13 20:04:00,Cancelado,550.22,
38,24,17,29,2024-02-07 19:50:00,Completado,10342.81,
39,81,15,27,2024-10-28 11:46:00,Completado,2061.44,
40,23,1,39,2023-04-05 08:04:00,Completado,2554.69,
41,41,6,19,2024-12-02 17:28:00,Cancelado,202.76,
42,90,18,25,2024-06-19 08:34:00,Completado,9086.96,
43,82,4,40,2023-10-17 12:17:00,Completado,831.64,
44,51,6,18,2024-10-21 09:42:00,Enviado,5399.28,
45,55,5,34,2023-05-31 13:56:00,Cancelado,218.42,
46,53,3,3,2023-04-06 17:11:00,Completado,91.22,
47,1,12,11,2023-09-10 18:21:00,Enviado,1041.19,
48,85,6,34,2023-01-21 19:54:00,Completado,119.91,
49,66,12,15,2024-01-24 12:01:00,Completado,1778.4,
50,84,3,10,2024-12-09 16:20:00,Completado,342.54,
51,81,8,40,2024-08-18 10:39:00,Completado,771.1,
52,29,3,8,2024-02-03 16:02:00,Completado,3643.58,
53,7,17,3,2024-01-29 16:26:00,Completado,2329.34,
54,65,8,17,2024-07-15 20:49:00,En proceso,247.32,
55,14,11,12,2024-12-14 11:22:00,Completado,175.0,
56,91,6,4,2024-05-12 11:58:00,Completado,3013.41,
57,89,7,24,2023-06-11 19:38:00,Completado,9319.22,
58,86,11,37,2023-07-29 17:35:00,Completado,42.77,
