DetalleID,PedidoID,ProductoID,Cantidad,PrecioUnitario
1,1,38,2,24.45
2,1,34,3,28.88
3,1,3,4,586.62
4,1,16,2,92.86
5,2,13,4,70.83
6,3,12,3,257.3
7,4,17,2,209.3
8,5,34,3,30.68
9,5,7,2,855.97
10,5,27,3,39.23
11,5,4,3,152.92
12,5,21,2,14.93
13,6,14,2,183.74
14,6,32,1,60.65
15,6,28,3,47.93
16,6,34,2,28.83
17,6,5,1,99.6
18,7,22,2,23.94
19,7,30,1,12.43
20,7,19,4,154.58
21,7,35,4,87.17
22,8,27,1,38.75
23,9,31,2,24.84
24,9,34,3,29.0
25,9,16,1,94.11
26,9,15,3,580.36
27,10,16,1,87.67
28,10,4,2,154.54
29,11,27,3,41.97
30,11,28,2,49.04
31,12,26,1,261.16
32,13,11,1,92.3
33,13,20,4,18.62
34,14,21,3,15.52
35,14,34,3,30.25
36,14,3,1,608.32
37,14,35,2,90.24
38,15,3,1,572.19
39,15,37,3,34.31
40,15,24,2,941.83
41,15,19,1,154.04
42,15,8,3,114.21
43,16,22,1,22.79
44,16,39,2,56.01
45,17,2,4,380.17
46,17,31,3,26.2
47,17,7,4,916.54
48,18,29,3,44.22
49,18,39,4,55.32
50,19,2,2,395.68
51,19,13,4,72.99
52,19,28,2,47.75
53,19,24,1,939.41
54,20,11,3,93.56
55,21,14,3,191.16
56,22,38,1,26.09
57,22,23,2,25.62
58,22,1,1,2327.68
59,22,14,2,194.32
60,23,32,1,58.76
61,23,6,3,340.19
62,23,1,4,2308.89
63,23,5,1,97.27
64,24,11,2,91.06
65,24,6,4,348.69
66,24,39,1,55.12
67,24,3,4,587.82
68,25,31,3,24.98
69,25,16,2,89.25
70,25,10,1,80.54
71,25,39,1,52.63
72,25,20,2,18.26
73,26,20,4,18.38
74,26,16,4,87.29
75,26,37,1,36.0
76,26,26,2,254.95
77,27,28,3,52.33
78,28,27,4,39.29
79,28,37,4,33.7
80,28,13,3,67.08
81,28,22,3,21.91
82,29,9,3,132.94
83,29,38,1,25.99
84,30,33,3,139.34
85,30,31,2,25.96
86,30,37,2,36.23
87,30,36,2,94.15
88,30,21,4,14.76
89,31,3,2,596.33
90,31,17,1,202.53
91,32,35,4,90.0
92,32,26,2,262.39
93,33,20,4,18.38
94,33,2,3,376.78
95,33,13,3,67.0
96,33,4,1,143.58
97,33,11,3,94.13
98,34,29,1,44.61
99,34,11,3,86.39
100,34,37,1,34.09
101,35,36,2,93.32
102,35,2,2,388.49
103,35,9,2,135.48
104,35,15,4,573.17
105,36,34,3,29.81
106,36,24,3,934.44
107,36,2,4,375.24
108,36,11,3,91.4
109,37,36,1,87.44
110,37,35,3,87.28
111,37,30,1,13.32
112,37,16,2,93.81
113,38,35,1,89.48
114,38,1,4,2317.73
115,38,4,1,151.74
116,38,28,4,50.25
117,38,17,3,209.89
118,39,33,2,139.86
119,39,20,4,19.32
120,39,36,3,90.64
121,39,6,4,358.13
122,40,7,1,923.88
123,40,9,1,132.89
124,40,2,4,374.48
125,41,28,4,50.69
126,42,23,4,26.17
127,42,27,3,41.3
128,42,11,1,86.78
129,42,1,4,2185.4
130,42,21,2,15.0
131,43,9,3,128.16
132,43,31,4,24.78
133,43,11,4,87.01
134,44,20,4,19.1
135,44,15,2,617.37
136,44,14,2,196.23
137,44,7,4,923.92
138,45,38,4,25.59
139,45,32,2,58.03
140,46,34,2,30.89
141,46,21,2,14.72
142,47,35,2,91.22
143,47,33,3,141.12
144,47,17,2,197.49
145,47,30,3,13.47
146,48,27,3,39.97
147,49,3,3,592.8
148,50,37,2,35.96
149,50,9,2,135.31
150,51,22,1,24.05
151,51,26,1,259.91
152,51,30,1,12.56
153,51,2,1,388.07
154,51,11,1,86.51
155,52,4,1,153.18
156,52,7,4,872.6
157,53,18,4,480.51
158,53,22,3,24.06
159,53,23,1,23.89
160,53,37,1,35.85
161,53,33,2,137.69
162,54,25,4,61.83
163,55,8,1,122.68
164,55,38,2,26.16
165,56,16,4,89.56
166,56,24,3,878.49
167,56,20,1,19.7
168,57,1,4,2204.19
169,57,26,2,251.23
170,58,29,1,42.77
171,59,18,1,476.13
172,59,22,1,24.08
173,59,32,3,58.18
174,60,4,1,146.75
175,60,34,2,30.78
176,60,6,2,359.94
177,60,17,1,201.64
